Nombre,Dirección,Teléfono,WhatsApp,Website,Rating,Reseñas,Latitud,Longitud
"Amare Beach Club","Playa linda tierra bomba, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia","314 2594747","+3142594747","http://www.amarecartagena.com/",4.8,457,10.3687489,-75.57978229999999
"Anaho Beach Club","Isla de Tierra Bomba, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia","314 5948838","+3145948838","https://anahobeachclub.com/",4.7,143,10.3728756,-75.5693543
"ANCESTRAL LOUNGE","Isla de Tierra Bomba, Provincia de Cartagena, Bolívar, Colombia","305 9326183","+3059326183","",3.9,106,10.3669309,-75.5820671
"Atolon Beach Club Cartagena","Isla Tierra Bomba, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia","300 3194215","+3003194215","http://www.atoloncartagena.com/",4.4,25,10.3221033,-75.5871441
"Baia Bella Beach Club","Tierra Bomba, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia","310 7746736","+3107746736","https://baiabellabeachclub.com/",4.9,12,10.363227,-75.5859607
"Blue Apple Beach","Blue Apple Beach House, Isla Tierra Bomba, Bocachica, Provincia de Cartagena, Bolívar, Colombia","316 7506979","+3167506979","https://www.blueapplebeach.com/",4.7,1118,10.3255653,-75.5906017
"Éteka Beach Cartagena","Isla de Tierrabomba, Provincia de Cartagena, Bolívar, Colombia","304 5938911","+3045938911","https://www.etekacartagena.com/",4.3,469,10.3673598,-75.5595317
"Fenix Beach Club & Hotel","Fenix Beach, Tierra Bomba, Provincia de Cartagena, Bolívar, Colombia","318 3771676","+3183771676","http://www.fenix.co/",4.4,2203,10.36269,-75.54148099999999
"Makani Luxury Wanderlust","Isla Tierra Bomba, Playa Arroyo, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia","318 3356186","+3183356186","https://www.makaniluxury.com/?partner=4153&utm_source=google&utm_medium=mybusiness",4.3,373,10.3376617,-75.5908946
"Mariana's Beach","Isla Tierra Bomba, Cartagena de Indias, Bolívar, Colombia","323 3058769","+3233058769","http://www.marianasbeach.com/",4.4,133,10.3655836,-75.556151
"Namasté Beach Cartagena","Isla, Tierra Bomba, Tierrabomba, Bolívar, Colombia","300 4889421","+3004889421","https://www.namastebeachclub.com/",4.5,400,10.365734,-75.5518125
"Palmarito Beach Hotel","Isla de Tierra Bomba, Cartagena de Indias, Playa Dorada, Provincia de Cartagena, Bolívar, Colombia","310 5172659","+3105172659","https://palmaritobeach.com/",4.4,3451,10.3712777,-75.5664832
"Vista Mare Beach House","Isla de Tierra Bomba, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia","313 5508457","+3135508457","https://vistamarecartagena.com/",4.3,134,10.3673443,-75.5597277